"total_cup_points","species","country_of_origin","region","harvest_year","grading_date","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","color"
84,"Arabica","Uganda","kasese","2012","February 13th, 2012",7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,"Green"
83.92,"Arabica","Brazil","south of minas","2017 / 2018","October 20th, 2017",7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,"Green"
83.92,"Arabica","Mexico","veracruz","2017","July 3rd, 2017",7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,"Green"
83.92,"Arabica","Thailand","chiangrai","2015","October 18th, 2016",7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,"Bluish-Green"
83.92,"Arabica","Brazil","south of minas","2016","August 16th, 2016",7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,"Green"
83.92,"Arabica","Taiwan","leye, alishan township, chiayi county 嘉義阿里山樂野村","2015","May 18th, 2016",7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,"Green"
83.92,"Arabica","Colombia","huila","2016","February 11th, 2016",7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,"Green"
83.92,"Arabica","Taiwan","台灣","2014","November 7th, 2015",7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,"Blue-Green"
83.92,"Arabica","Colombia","huila","2014","March 12th, 2015",7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,"None"
83.92,"Arabica","Colombia","huila","2014","December 12th, 2014",7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,"Green"
83.92,"Arabica","Taiwan","台中和平區","2014","November 23rd, 2014",8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,"Green"
83.92,"Arabica","Colombia","santander","2014","January 17th, 2014",7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,"Green"
83.92,"Arabica","Mexico","xicotepec de juarez","2012","July 3rd, 2012",7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,"Blue-Green"
83.92,"Arabica","Mexico","la yerbabuena","2012","April 2nd, 2012",7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,"Green"
83.83,"Arabica","Colombia","nariño","2017","June 30th, 2017",7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,"Green"
83.83,"Arabica","Colombia","huila","2016","March 14th, 2017",7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,"Green"
83.83,"Arabica","Costa Rica","tarrazu","2015","June 6th, 2016",7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,"Blue-Green"
83.83,"Arabica","Guatemala","antigua","2016","May 23rd, 2016",7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,"Green"
83.83,"Arabica","Brazil","south of minas","2015/2016","October 8th, 2015",7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,"Green"
83.83,"Arabica","Taiwan","dongshan dist., tainan city 臺南市東山區","2014","April 30th, 2015",7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,"Green"
83.83,"Arabica","Ethiopia","oromia","2014","March 31st, 2015",7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,"Green"
83.83,"Arabica","Brazil","south of minas","2014/2015","October 16th, 2014",7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,"Green"
83.83,"Arabica","Costa Rica","central valley","2013","June 9th, 2014",7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,"Green"
83.83,"Arabica","Guatemala","oriente","2014","May 22nd, 2014",7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,"Green"
83.83,"Arabica","Brazil","south of minas","2013/2014","December 26th, 2013",7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,"Green"
83.83,"Arabica","Ecuador","province of manabi, ecuador","2013","October 4th, 2013",7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,"Bluish-Green"
83.83,"Arabica","Colombia","huila","2013","September 3rd, 2013",7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,"Green"
83.83,"Arabica","Guatemala","oriente","2013","April 26th, 2013",7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,"Green"
83.83,"Arabica","Mexico","petatlan","2012","July 26th, 2012",7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,"Green"
83.83,"Arabica","Brazil","carmo de minas","2011/2012","December 21st, 2011",7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,"Green"
83.75,"Arabica","Kenya","nyeri",NA,"January 11th, 2018",7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,"Green"
83.75,"Arabica","Brazil","south of minas","2017 / 2018","October 20th, 2017",7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,"Green"
83.75,"Arabica","Colombia","huila","2017","September 28th, 2017",7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,"Green"
83.75,"Arabica","Taiwan","台南市東山區 (dongshan dist., tainan city)","2016","June 6th, 2017",7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,"Green"
83.75,"Arabica","Colombia","huila","2016","February 15th, 2017",7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,"Green"
83.75,"Arabica","China","yunnan","2015","April 6th, 2016",7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,"Green"
83.75,"Arabica","Colombia","huila","2015/2016","November 27th, 2015",7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,"Green"
83.75,"Arabica","Uganda","west nile","2013","June 30th, 2014",8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,"Green"
83.75,"Arabica","United States (Puerto Rico)","yauco region","2013","June 9th, 2014",7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,"Green"
83.75,"Arabica","Colombia","huila","2014","February 5th, 2014",7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,"Green"
83.75,"Arabica","Colombia","huila","2014","January 24th, 2014",7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,"Green"
83.75,"Arabica","Colombia","huila","2013","November 22nd, 2013",7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,"Blue-Green"
83.75,"Arabica","Colombia","huila","2013","August 27th, 2013",7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,"Green"
83.75,"Arabica","United States (Hawaii)","kona","2013","May 2nd, 2013",7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,"Bluish-Green"
83.75,"Arabica","Mexico","huazalingo, hidalgo","2012","September 27th, 2012",7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,"None"
83.75,"Arabica","Guatemala","quetzaltenango","2012","May 24th, 2012",7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,"Bluish-Green"
83.67,"Arabica","Brazil","south of minas","2017 / 2018","October 20th, 2017",7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,"Green"
83.67,"Arabica","Kenya","meru county","2017","September 1st, 2017",8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,"Bluish-Green"
83.67,"Arabica","Honduras","comayagua","2016","May 11th, 2017",7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,"Green"
83.67,"Arabica","Nicaragua","jinotega","2016","May 11th, 2017",7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,"Green"
83.67,"Arabica","Brazil","south of minas","2016","August 16th, 2016",7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,"Green"
83.67,"Arabica","Taiwan","leye, alishan township, chiayi county","2015","May 18th, 2016",7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,"Bluish-Green"
83.67,"Arabica","Costa Rica","west valley",NA,"March 14th, 2016",7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,"Blue-Green"
83.67,"Arabica","Thailand","thailand","2014","June 9th, 2015",7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,"Bluish-Green"
83.67,"Arabica","Guatemala","huehuetenango","2014","February 27th, 2014",8,7.5,7.33,8,8,8,9.33,10,10,7.5,"Green"
83.67,"Arabica","Colombia","huila supremo","2013","October 29th, 2013",7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,"Green"
83.67,"Arabica","Colombia","huila","2013","August 16th, 2013",7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,"Green"
83.67,"Arabica","Guatemala","oriente","2013","May 30th, 2013",7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,"Green"
83.67,"Arabica","Guatemala","oriente","2013","February 26th, 2013",7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,"Green"
83.67,"Arabica","Colombia","huila","2012","November 22nd, 2012",7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,"Green"
83.67,"Arabica","Guatemala","oriente","2012","August 23rd, 2012",8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,"Green"
83.67,"Arabica","Guatemala","oriente","2012","July 9th, 2012",7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,"Green"
83.67,"Arabica","Mexico","xicotepec de juarez","2012","July 2nd, 2012",7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,"Green"
83.67,"Arabica","Indonesia","east java","2012","May 23rd, 2012",8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,"Green"
83.67,"Arabica","Guatemala","sacatepequez, guatemala","2012","April 30th, 2012",7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,"Green"
83.58,"Arabica","Brazil","south of minas","2017 / 2018","October 20th, 2017",7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,"Green"
83.58,"Arabica","Guatemala","huehuetenango","2016","July 5th, 2016",7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,"Green"
83.58,"Arabica","Colombia","huila","2016","April 15th, 2016",7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,"Green"
83.58,"Arabica","China","yunnan","2015","April 6th, 2016",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,"Green"
83.58,"Arabica","Colombia","huila","2015","November 19th, 2015",7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,"Green"
83.58,"Arabica","Mexico","chiapas, jaltenango","2014","May 12th, 2015",7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,"Green"
83.58,"Arabica","Uganda","eastern","2013","June 27th, 2014",7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,"Green"
83.58,"Arabica","Colombia","cundinamarca","2014","June 24th, 2014",7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,"Green"
83.58,"Arabica","Colombia","santander","2014","March 13th, 2014",7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,"Green"
83.58,"Arabica","Taiwan","taichung xinshe 台中市新社區","2013/2014","December 26th, 2013",7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,"Green"
83.58,"Arabica","Colombia","huila","2012","August 31st, 2012",7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,"Green"
83.58,"Arabica","Colombia","cundinamarca","2012","April 2nd, 2012",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,"Green"
83.58,"Arabica","Brazil","south of minas","2012","January 23rd, 2012",7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,"Blue-Green"
83.5,"Arabica","Colombia","cundinamarca","2016","February 20th, 2017",7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,"Bluish-Green"
83.5,"Arabica","Taiwan",NA,"2016 / 2017","February 13th, 2017",7.58,7.58,7.17,7.17,7,7,10,10,10,10,"Blue-Green"
83.5,"Arabica","Costa Rica","tarrazu","2015","June 6th, 2016",7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,"Blue-Green"
83.5,"Arabica","Colombia","pitalito","2016","April 7th, 2016",7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,"Green"
83.5,"Arabica","Guatemala","oriente","2016","March 16th, 2016",7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,"Bluish-Green"
83.5,"Arabica","Colombia","huila","2015","November 19th, 2015",7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,"Green"
83.5,"Arabica","Tanzania, United Republic Of","nkure- meru","2015","November 16th, 2015",7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,"Green"
83.5,"Arabica","Indonesia","bener meriah","2015","September 14th, 2015",7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,"Bluish-Green"
83.5,"Arabica","Colombia","huila","2014","January 22nd, 2015",8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,"Green"
83.5,"Arabica","Guatemala","atitlan","2013","December 18th, 2014",7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,"Green"
83.5,"Arabica","Honduras","comayagua","2014/2015","April 8th, 2014",7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,"Green"
83.5,"Arabica","Colombia","huila","2013","April 26th, 2013",7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,"Green"
83.5,"Arabica","Colombia","huila","2013","May 24th, 2013",7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,"Green"
83.5,"Arabica","Mexico","xalapa","2012","August 31st, 2012",7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,"Green"
83.5,"Arabica","Mexico","chilón","2012","August 30th, 2012",7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,"Green"
83.5,"Arabica","Mexico","totutla","2012","July 11th, 2012",7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,"Green"
83.5,"Arabica","Guatemala","atitlan","2012","April 30th, 2012",7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,"Green"
83.5,"Arabica","Colombia","huila","2012","February 9th, 2012",7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,"Green"
83.5,"Arabica","Guatemala","oriente","2012","February 1st, 2012",7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,"Green"
83.42,"Arabica","Colombia","huila","2017 / 2018","November 9th, 2017",7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,"Green"
83.42,"Arabica","Guatemala","san marcos","2017","August 23rd, 2017",7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,"Green"
83.42,"Arabica","Colombia","huila","2016","May 10th, 2017",7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,"Green"
83.42,"Arabica","Costa Rica","tarrazu","2016","February 17th, 2017",7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,"Blue-Green"
83.42,"Arabica","Taiwan",NA,"2015","February 13th, 2017",7.67,7.67,7,7.08,7,7,10,10,10,10,"Blue-Green"
83.42,"Arabica","Uganda","eastern","2015","July 21st, 2016",7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,"Green"
83.42,"Arabica","Thailand","thailand","2015","June 27th, 2016",7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,"Bluish-Green"
83.42,"Arabica","Colombia","huila","2015","April 29th, 2015",7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,"Green"
83.42,"Arabica","Brazil","vale da grama","2014","January 15th, 2015",7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,"Green"
83.42,"Arabica","Tanzania, United Republic Of","karatu northern","2014","December 12th, 2014",7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,"Green"
83.42,"Arabica","Colombia","huila","2014/2015","October 15th, 2014",7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,"Green"
83.42,"Arabica","Guatemala","oriente","2013","August 21st, 2014",7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,"Green"
83.42,"Arabica","Guatemala","antigua","2014","February 18th, 2014",7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,"Green"
83.42,"Arabica","Guatemala","oriente","2013","July 16th, 2013",7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,"Green"
83.42,"Arabica","United States (Hawaii)","kona","2012","January 24th, 2013",7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,"Green"
83.42,"Arabica","Colombia","cundinamarca","2012","June 26th, 2012",7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,"Green"
83.33,"Arabica","Colombia","guayata","2016","June 15th, 2016",7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,"Blue-Green"
83.33,"Arabica","Colombia","huila","2016","May 5th, 2016",7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,"Green"
83.33,"Arabica","Brazil","south of minas","2015/2016","October 12th, 2015",7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,"Green"
83.33,"Arabica","Mexico","chiapas","2014","July 14th, 2015",7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,"Green"
83.33,"Arabica","Colombia","santander","2015","April 8th, 2015",7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,"Green"
83.33,"Arabica","Tanzania, United Republic Of","arusha","2014","December 12th, 2014",7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,"Green"
83.33,"Arabica","Mexico","veracruz","2013","July 15th, 2014",7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,"Green"
83.33,"Arabica","Costa Rica","san ramon","2014","April 7th, 2014",7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,"Green"
83.33,"Arabica","United States (Hawaii)","kona","2014","February 25th, 2014",7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,"Bluish-Green"
83.33,"Arabica","Costa Rica","central valley","2013","February 14th, 2014",7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,"Green"
83.33,"Arabica","Peru",NA,"2013","January 21st, 2014",7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,"Green"
83.33,"Arabica","Haiti","thiotte, haiti","2012","October 3rd, 2013",7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,"Green"
83.33,"Arabica","Colombia","pitalito","2013","April 26th, 2013",7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,"Green"
83.33,"Arabica","Guatemala","oriente","2013","February 26th, 2013",7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,"Green"
83.33,"Arabica","United States (Hawaii)","kona","2012","January 24th, 2013",7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,"Bluish-Green"
83.33,"Arabica","Colombia","huila","2012","May 30th, 2012",7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,"Green"
83.25,"Arabica","Mexico","sierra madre occidental","2017","March 7th, 2017",7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,"Blue-Green"
83.25,"Arabica","Costa Rica","tarrazu","2016","January 30th, 2017",7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,"Green"
83.25,"Arabica","Guatemala","nuevo oriente","2016","August 12th, 2016",7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,"Green"
83.25,"Arabica","Uganda","sipi, mt elgon","2015","May 19th, 2016",7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,"Green"
83.25,"Arabica","Brazil","campos altos - cerrado","2016","January 12th, 2016",7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,"Green"
83.25,"Arabica","Colombia","huila","2015/2016","November 27th, 2015",7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,"Green"
83.25,"Arabica","Mexico","cuarenteño","2015","July 14th, 2015",7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,"Bluish-Green"
83.25,"Arabica","Taiwan","natou county","2015","June 18th, 2015",7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,"Blue-Green"
83.25,"Arabica","Taiwan","南投國姓","2014","November 23rd, 2014",7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,"Green"
83.25,"Arabica","Colombia","eje cafetero","2014","June 24th, 2014",7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,"Green"
83.25,"Arabica","Guatemala","antigua","2014","March 7th, 2014",7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,"Green"
83.25,"Arabica","Colombia","huila","2013","August 2nd, 2013",7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,"Green"
83.25,"Arabica","Mexico","chiapas","2013","March 29th, 2013",7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,"Green"
83.25,"Arabica","United States (Hawaii)","kona","2012","March 21st, 2013",7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,"Bluish-Green"
83.25,"Arabica","Mexico","veracruz","2012","August 1st, 2012",7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,"Green"
83.25,"Arabica","Mexico","fortín de las flores","2012","July 11th, 2012",7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,"Blue-Green"
83.25,"Arabica","Guatemala","oriente","2012","July 9th, 2012",7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,"Green"
83.25,"Arabica","Brazil","grama valley","2012","February 23rd, 2012",7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,"Blue-Green"
83.25,"Arabica","Colombia","huila","2012","February 22nd, 2012",7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,"Green"
83.25,"Arabica","Colombia","la plata","2012","February 9th, 2012",7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,"Green"
83.17,"Arabica","Brazil","south of minas","2017 / 2018","October 20th, 2017",7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,"Green"
83.17,"Arabica","Guatemala","oriente","2017","August 24th, 2017",7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,"Green"
83.17,"Arabica","Tanzania, United Republic Of","moshi","2016","June 20th, 2017",7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,"Green"
83.17,"Arabica","Peru",NA,"2017","June 16th, 2017",7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,"Green"
83.17,"Arabica","Vietnam","dala","2017","May 8th, 2017",7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,"None"
83.17,"Arabica","Guatemala","antigua","2016","May 23rd, 2016",7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,"Green"
83.17,"Arabica","Honduras","marcala","2016","May 2nd, 2016",7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,"Blue-Green"
83.17,"Arabica","China","yunnan","2015","April 6th, 2016",7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,"Green"
83.17,"Arabica","China","dehong prefecture","2015","April 5th, 2016",7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,"Green"
83.17,"Arabica","El Salvador","apaneca","2016","March 29th, 2016",7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,"Green"
83.17,"Arabica","Guatemala","antigua","2015","October 29th, 2015",7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,"Green"
83.17,"Arabica","Guatemala","oriente","2015","September 29th, 2015",7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,"Green"
83.17,"Arabica","Kenya","kenya","2014","July 3rd, 2015",7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,"Bluish-Green"
83.17,"Arabica","Thailand","thailand","2014","June 9th, 2015",7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,"Bluish-Green"
83.17,"Arabica","Tanzania, United Republic Of","mbinga","2014","December 12th, 2014",7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,"Bluish-Green"
83.17,"Arabica","Uganda","eastern","2014","October 28th, 2014",8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,"Bluish-Green"
83.17,"Arabica","Colombia",NA,"2014","August 25th, 2014",7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,"Green"
83.17,"Arabica","Honduras","san marcos","2013","April 12th, 2014",7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,"Green"
83.17,"Arabica","Honduras","comayagua","2014/2015","April 8th, 2014",7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,"Green"
83.17,"Arabica","Guatemala","san marcos","2014","March 27th, 2014",7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,"Green"
83.17,"Arabica","United States (Hawaii)","kona","2013","February 7th, 2014",7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,"Bluish-Green"
83.17,"Arabica","Tanzania, United Republic Of","kilimanjaro","2014","January 31st, 2014",7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,"Green"
83.17,"Arabica","Guatemala","oriente","2013","April 26th, 2013",7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,"Green"
83.17,"Arabica","Mexico","chiapas","2013","March 29th, 2013",7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,"Green"
83.17,"Arabica","Mexico","tlanchinol, hidalgo","2012","September 27th, 2012",7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,"None"
83.17,"Arabica","Mexico","san bartolo tutotepec","2012","September 27th, 2012",7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,"None"
83.17,"Arabica","Colombia","huila","2012","August 31st, 2012",7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,"Green"
83.17,"Arabica","Mexico","san isidro","2012","July 11th, 2012",7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,"Green"
83.17,"Arabica","Colombia","huila","2012","June 8th, 2012",7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,"Blue-Green"
83.17,"Arabica","Brazil","south of minas","2012","March 19th, 2012",7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,"Green"
83.17,"Arabica","Brazil","mogiana","2012","February 17th, 2012",7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,"Green"
83.17,"Arabica","Guatemala","oriente","2012","February 1st, 2012",7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,"Green"
83.17,"Arabica","Brazil","south of minas","2011","December 3rd, 2011",7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,"Blue-Green"
83.08,"Arabica","Colombia","cundinamarca","2016","February 20th, 2017",7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,"Green"
83.08,"Arabica","Colombia","huila","2016","January 10th, 2017",7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,"Green"
83.08,"Arabica","Brazil","south of minas","2015","April 25th, 2016",7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,"Bluish-Green"
83.08,"Arabica","Brazil","south of minas","2015/2016","October 8th, 2015",7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,"Green"
83.08,"Arabica","Taiwan","dongshan dist., tainan city 臺南市東山區","2015","May 19th, 2015",7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,"Green"
83.08,"Arabica","Brazil","chapadão de ferro (cerrado mineiro)","2015","April 20th, 2015",7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,"Green"
83.08,"Arabica","Brazil","south of minas","2014/2015","October 16th, 2014",7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,"Green"
